CountYear5,CountDate,NumParticipants,NumHours,NumSpeciesReported
118,12/16/2017,118,253.00,47
117,12/17/2016,110,210.50,37
116,12/19/2015,110,214.22,43
115,12/14/2014,49,214.00,43
114,12/14/2013,82,169.80,30
113,12/15/2012,153,197.70,37
112,12/17/2011,99,229.45,39
111,12/18/2010,93,201.50,40
110,12/19/2009,95,202.00,38
109,12/20/2008,88,196.00,44
108,12/15/2007,86,223.75,40
107,12/16/2006,88,218.25,46
106,12/17/2005,78,186.00,40
105,12/18/2004,88,208.75,50
104,12/14/2003,57,150.00,41
103,12/14/2002,72,181.00,43
102,12/15/2001,80,171.00,39
101,12/16/2000,67,196.00,41
100,12/18/1999,84,195.00,47
99,12/19/1998,92,194.00,45
98,12/20/1997,85,188.00,41
97,12/21/1996,75,167.00,40
96,12/16/1995,83,172.00,47
95,12/17/1994,61,149.00,42
94,12/19/1993,53,147.00,44
93,12/19/1992,62,175.00,47
92,12/14/1991,56,152.00,43
91,12/15/1990,51,142.00,39
90,12/16/1989,54,128.00,
89,12/17/1988,51,134.00,
88,12/19/1987,45,101.50,
87,12/20/1986,55,146.00,
86,12/21/1985,94,132.00,
85,12/15/1984,80,136.00,
84,12/17/1983,65,126.00,
83,12/18/1982,69,135.00,
82,12/19/1981,70,142.00,
81,12/20/1980,54,103.00,
80,12/15/1979,57,94.00,
79,12/16/1978,46,71.00,
78,12/17/1977,65,110.00,
77,12/18/1976,67,117.00,
76,12/20/1975,47,85.00,
75,12/14/1974,30,61.00,
74,12/16/1973,18,66.00,
73,12/23/1972,13,33.00,
72,12/26/1971,18,36.00,
71,12/27/1970,7,25.00,
70,12/28/1969,8,28.00,
69,12/28/1968,10,24.00,
68,12/24/1967,4,14.00,
67,12/26/1966,9,21.00,
66,12/26/1965,11,16.00,
64,12/22/1963,9,21.00,
63,12/23/1962,13,33.00,
61,01/02/1961,18,29.00,
42,12/27/1941,1,,

